2021-10-24 15:51, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 16:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 16:1, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 16:5, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'C'., 80 LoadKnightsAllList***
2021-10-24 16:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 16:11, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 16:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 16:21, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 16:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 16:31, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
2021-10-24 16:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near 'ndex'., 83 UpdateSiegeWarCastleCommerce***
2021-10-24 16:41, *** 37000, 102, [Microsoft][SQL Server Native Client 11.0][SQL Server]Incorrect syntax near '36928'., 84 UpdateKingTax***
